CompName,closedate,OppStage,OppName,Desc,amount,prob
DabZ,1/15/22,Commit,Cloned bottom-line function,disintermediate front-end channels,9272644,80
Skyndu,10/9/22,Won,Inverse fresh-thinking artificial intelligence,optimize sexy experiences,9302143,100
Zoozzy,8/28/22,Commit,Focused non-volatile workforce,incubate one-to-one applications,4825838,100
Zoombeat,6/27/22,Won,Ameliorated heuristic complexity,syndicate web-enabled users,2997822,20
Dynazzy,3/10/22,Won,De-engineered intangible system engine,e-enable frictionless infrastructures,6784667,60
Kazio,11/27/22,Commit,Automated bandwidth-monitored open system,architect extensible interfaces,7036257,100
Eire,10/23/22,Won,Polarised object-oriented projection,facilitate extensible infrastructures,6017215,60
Wikivu,9/27/22,Open,Open-architected tangible access,streamline sexy solutions,5539252,20
Skimia,2/12/22,Commit,Balanced bottom-line Graphic Interface,deliver killer schemas,6609176,40
Zava,11/16/22,Open,Organized object-oriented artificial intelligence,redefine real-time technologies,8314581,60
Wikivu,3/9/22,Discovery,Organized dedicated data-warehouse,incentivize out-of-the-box content,3917192,20
Pixoboo,7/17/22,Lost,Seamless logistical matrices,enhance scalable metrics,6549075,20
InnoZ,7/9/22,Upside,Customer-focused well-modulated artificial intelligence,cultivate front-end e-tailers,3886965,60
Skaboo,8/22/22,Lost,Implemented client-server implementation,revolutionize impactful e-business,7172146,40
Eimbee,7/12/22,Commit,Function-based actuating hierarchy,deploy next-generation metrics,9631613,80
Eamia,2/18/22,Commit,Extended tangible methodology,innovate bleeding-edge paradigms,1503518,40
Ozu,9/22/22,Open,Configurable static concept,cultivate leading-edge applications,6264383,100
Einti,12/20/22,Open,Horizontal full-range project,innovate intuitive solutions,5279050,80
Mycat,3/4/23,Commit,Programmable object-oriented groupware,optimize dynamic web-readiness,1640230,100
Ntags,11/26/22,Lost,Programmable multi-tasking customer loyalty,envisioneer 24/365 initiatives,4235629,80
Zoombeat,2/10/23,Upside,Centralized content-based orchestration,architect B2B networks,6220728,40
Oba,1/17/23,Lost,Triple-buffered dynamic secured line,expedite dynamic networks,360090,40
Thoughtblab,1/2/23,Upside,Total contextually-based info-mediaries,cultivate enterprise interfaces,512111,100
Voomm,6/25/22,Lost,Profit-focused impactful algorithm,syndicate robust synergies,4684091,100
Edgeblab,9/28/22,Discovery,Optimized methodical functionalities,extend cutting-edge architectures,7994769,80
Ntag,12/9/22,Open,Customer-focused tertiary implementation,productize clicks-and-mortar paradigms,7615007,20
Quatz,8/11/22,Won,Configurable systematic support,productize turn-key e-markets,2197149,60
Gevee,3/14/22,Discovery,Networked uniform task-force,strategize plug-and-play channels,8771370,100
Agivu,12/29/22,Discovery,Decentralized holistic solution,synergize wireless bandwidth,8056389,80
Feednation,10/16/22,Open,Extended bi-directional Graphical User Interface,expedite innovative supply-chains,7650268,20
Plambee,6/22/22,Lost,Decentralized demand-driven Graphical User Interface,revolutionize world-class schemas,1320287,100
Tanoodle,4/2/22,Won,Monitored motivating circuit,deploy rich supply-chains,1394119,100
Babbleblab,7/26/22,Won,Realigned high-level firmware,generate 24/365 e-commerce,4131899,40
Twimm,9/12/22,Discovery,Optimized static system engine,disintermediate customized channels,9977181,20
Trudeo,1/20/23,Commit,Object-based fresh-thinking help-desk,enable visionary functionalities,1246587,20
Flashspan,3/17/22,Commit,Team-oriented responsive utilisation,repurpose magnetic deliverables,5224237,20
Livefish,4/26/22,Discovery,Universal empowering capacity,expedite mission-critical bandwidth,4044665,20
Tazz,2/7/23,Commit,Implemented didactic structure,evolve clicks-and-mortar web-readiness,4543361,80
Youfeed,5/19/22,Won,Profit-focused modular projection,mesh customized technologies,7776562,60
Brightbean,7/15/22,Discovery,Grass-roots demand-driven application,disintermediate innovative mindshare,4052682,60
Livefish,8/30/22,Open,User-friendly dedicated software,benchmark value-added initiatives,6350015,20
Fadeo,8/2/22,Upside,Inverse directional product,incentivize out-of-the-box metrics,3750360,80
Divape,9/17/22,Discovery,Down-sized full-range solution,exploit dynamic infomediaries,7541848,40
Wordtune,10/11/22,Upside,User-centric dedicated hardware,optimize intuitive users,1212596,80
Feedfire,1/14/23,Open,Networked upward-trending monitoring,seize 24/7 portals,8866906,80
Divavu,2/24/22,Open,Inverse multi-state neural-net,maximize magnetic architectures,2135569,20
Browsedrive,11/19/22,Lost,Advanced mission-critical support,generate 24/365 communities,7465240,60
Tazzy,9/27/22,Discovery,Innovative needs-based capacity,target integrated vortals,6460053,20
Skimia,1/6/22,Lost,Pre-emptive multi-state matrix,productize extensible schemas,1345995,100
Tagopia,9/27/22,Commit,Implemented systemic algorithm,architect open-source schemas,9793282,100
Topdrive,2/13/23,Discovery,Expanded local functionalities,orchestrate global paradigms,8959137,40
Aimbo,10/15/22,Won,Fundamental transitional algorithm,grow rich mindshare,875413,40
Yamia,9/12/22,Won,Ameliorated full-range infrastructure,orchestrate sticky ROI,6900714,60
Linkbridge,5/8/22,Commit,Realigned clear-thinking support,monetize distributed paradigms,9901507,20
Mynte,3/9/22,Upside,Focused hybrid emulation,reintermediate next-generation methodologies,7367074,100
Voomm,2/28/23,Lost,Persistent 3rd generation service-desk,syndicate world-class niches,9262445,100
Brightbean,7/9/22,Commit,Reactive coherent throughput,visualize compelling markets,9970567,100
Realpoint,1/15/23,Won,Quality-focused empowering emulation,aggregate B2B supply-chains,5189091,40
Edgeblab,8/10/22,Lost,Seamless reciprocal website,e-enable cross-platform portals,808059,60
Skivee,5/16/22,Lost,Optimized homogeneous portal,exploit synergistic functionalities,2426186,100
Jetpulse,11/27/22,Upside,Programmable responsive parallelism,recontextualize B2B niches,7508182,40
Twinte,1/28/22,Open,Compatible encompassing neural-net,benchmark interactive methodologies,9547457,80
Quatz,10/1/22,Won,Self-enabling directional installation,grow holistic paradigms,633286,100
Jaloo,1/17/22,Commit,Stand-alone asymmetric product,harness scalable action-items,7209610,20
Oodoo,3/27/22,Upside,Right-sized mobile process improvement,disintermediate revolutionary markets,178346,40
Kwinu,6/16/22,Commit,Automated context-sensitive matrices,synthesize distributed vortals,4629019,20
Topicblab,3/4/23,Lost,Multi-tiered reciprocal website,disintermediate synergistic initiatives,9837014,60
Wordtune,2/4/23,Upside,Team-oriented analyzing matrices,repurpose ubiquitous bandwidth,6160619,20
Omba,10/3/22,Lost,Horizontal holistic middleware,enhance next-generation experiences,9474666,100
Twitterbridge,4/21/22,Lost,Ameliorated maximized hierarchy,strategize out-of-the-box deliverables,1242729,20
Divape,12/9/22,Upside,Synergized heuristic standardization,transition virtual channels,4556369,20
Feednation,1/4/22,Open,Devolved contextually-based service-desk,iterate front-end communities,1882713,60
Meetz,12/6/22,Discovery,Multi-channelled foreground migration,matrix back-end web services,5445407,20
Edgewire,10/25/22,Commit,Quality-focused didactic matrix,synergize efficient e-commerce,330426,40
Yombu,3/12/22,Lost,Progressive multimedia capacity,harness rich applications,368965,20
Shufflester,8/8/22,Won,Devolved multi-tasking protocol,iterate dot-com infrastructures,7321204,60
Babbleopia,6/6/22,Discovery,Quality-focused optimal productivity,engage scalable platforms,7424195,100
Jabberbean,1/27/23,Discovery,Intuitive optimal infrastructure,disintermediate viral applications,2440733,80
Quatz,2/28/23,Discovery,Compatible full-range collaboration,drive dynamic ROI,6834183,40
Tagpad,12/10/22,Won,Visionary modular matrix,implement bleeding-edge mindshare,718424,40
Layo,10/15/22,Upside,Enterprise-wide homogeneous algorithm,recontextualize integrated e-business,9907326,20
